商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
佳贝艾特,1,荷兰,进口,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,172,831
合生元,0.5,法国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,174,814
纽贝滋,1,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,175,810
欢恩宝,1,荷兰,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,175,810
伊利,0.4,澳洲/新西兰,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,174,810
贝因美,1.1,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,175,808
美赞臣,1,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,176,806
伊利,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,176,797
伊利,0.8,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,176,796
君乐宝,1.06,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,176,783
雅培,1.08,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,176,783
多美滋,0.47,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,176,776
特福芬,1.8,德国,进口,1-3岁,箱装,有机奶粉,牛奶粉,3段,176,776
明一,6.72,澳洲/新西兰,国产,1-3岁,箱装,常规配方奶粉,牛奶粉,3段,176,771
雀巢,0.5,其它　,进口,0-0.5岁,桶装,特殊配方奶粉,牛奶粉,3段,176,771
伊利,0.9,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,178,761
御宝,1,其它　,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,178,759
关山,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,178,759
西谱,1.1,其它　,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,178,756
迈高,0.8,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,178.2,736
雀巢,0.4,荷兰,进口,0-0.5岁,桶装,特殊配方奶粉,牛奶粉,1段,178,736
羊羊,0.8,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,179,732
美素,1.08,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,179,729
君乐宝,0.8,中国大陆,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,179,719
御宝,0.4,中国大陆,国产,1-3岁,盒装,常规配方奶粉,羊奶粉,3段,179,713
飞鹤,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,180,694
惠氏,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,179,694
美赞臣,1.2,其它　,国产,0.5-1岁,箱装,常规配方奶粉,牛奶粉,2段,180,693
美赞臣,1,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,180,693
飞鹤,1.5,中国大陆,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,182,692
飞鹤,0.4,中国大陆,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,182,692
美赞臣,0.4,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,180,692
完达山,1.12,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,184,678
羊羊,0.8,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,184.5,671
伊利,0.8,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,184.5,671
合生元,0.9,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,185,670
安满,1.2,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,185,655
施恩,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,185,654
关山,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,185,651
喜安智,1,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,188,649
惠氏,2,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,188,649
合生元,2,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,187,649
君乐宝,1.06,中国大陆,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,188,644
惠氏,0.9,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,188,644
美赞臣,1,其它　,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,189,635
伊利,1,其它　,国产,6岁以上,袋装,常规配方奶粉,牛奶粉,4段,189,635
辉山,1.13,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,189,635
贝因美,0.908,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,189,632
伊利,1.2,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,192,630
贝因美,6.66,中国大陆,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,191,630
惠氏,1.2,其它　,进口,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,196,628
美素,0.9,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,195,628
雀巢,0.99,德国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,195,628
雅培,0.53,其它　,进口,0.5-1岁,桶装,特殊配方奶粉,牛奶粉,1段,196.2,627
西谱,1.1,其它　,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,197,621
特福芬,0.6,德国,进口,1-3岁,盒装,有机奶粉,牛奶粉,3段,197,619
贝因美,0.55,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,197.6,611
特福芬,0.69,其它　,进口,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,198,606
飞鹤,1.5,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,198,601
澳优,0.8,荷兰,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,198,596
百立乐,0.8,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,198,596
雅培,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,198,595
澳优,0.8,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,198,592
蒙牛,1,其它　,国产,0-0.5岁,桶装,有机奶粉,牛奶粉,1段,199,586
三元,0.4,中国大陆,国产,1-3岁,箱装,常规配方奶粉,牛奶粉,3段,199,583
君乐宝,1.6,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,199,583
惠氏,0.4,爱尔兰,进口,0-0.5岁,桶装,特殊配方奶粉,牛奶粉,1段,201,582
贝因美,1,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,199,582
美素,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,199,582
多美滋,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,201,571
贝因美,0.571,中国大陆,国产,0-0.5岁,箱装,常规配方奶粉,牛奶粉,2段,201,558
雅培,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,202,554
伴宝乐,0.9,法国,进口,0-0.5岁,桶装,有机奶粉,牛奶粉,1段,203,548
雅培,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,203,548
雅士利,0.7,其它　,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,203,548
美素,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,202,548
飞鹤,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,205,543
雅培,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,205,542
雅培,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,205,529
美赞臣,2.2,荷兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,206,526
贝因美,1,中国大陆,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,208,520
雅士利,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,208.8,516
贝因美,1,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,208,516
贝因美,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,210,514
雀巢,0.8,德国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,209,514
明一,1.68,澳洲/新西兰,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,209,514
百立乐,0.8,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,210,513
雅士利,0.8,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,3段,210,512
雀巢,0.4,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,2段,214,510
爱达力,0.8,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,212,510
贝因美,1.1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,211,510
诺优能,0.8,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,214,504
惠氏,0.9,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,214,492
雅培,1.09,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,216,491
君乐宝,1.6,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,215,491
雅士利,1.12,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,218,484
贝因美,1.1,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,218,484
合生元,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,218,484
飞鹤,1.11,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,216,484
味全,8.64,荷兰,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,218,483
亨氏,1.1,英国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,220,482
御宝,2.1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,219,482
雀巢,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,218,482
合生元,1.2,其它　,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,220,479
贝拉米,0.9,澳洲/新西兰,进口,1-3岁,桶装,有机奶粉,牛奶粉,3段,220,479
诺优能,0.9,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,220,476
美赞臣,1.13,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,221,471
君乐宝,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,223,469
完达山,1.14,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,223.5,463
御宝,0.4,中国大陆,国产,3-6岁,盒装,常规配方奶粉,羊奶粉,4段,225,462
飞鹤,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,226,461
施恩,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,228,460
圣元,1,法国,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,228,460
德国多比,1,德国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,226,460
纽贝滋,1,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,228,456
奶粉 三元,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,228,453
惠氏,1,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,228,453
纽瑞滋,1.1,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,228,451
雅睿,1.06,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,230,449
朵茵倍可,1.1,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,228,449
伴宝乐,0.9,法国,进口,1-3岁,桶装,有机奶粉,牛奶粉,3段,231,448
雅士利,0.7,其它　,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,231,446
惠氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,231,436
美素,1.3,其它　,进口,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,231,435
惠氏,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,233,431
圣元,0.5,法国,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,3段,233,431
明一,1.12,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,233,429
雅培,0.5,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,233,423
御宝,0.5,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,236,419
伴宝乐,0.9,法国,进口,0.5-1岁,桶装,有机奶粉,牛奶粉,2段,237,417
美羚,1.2,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,236,417
爱达力,0.8,法国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,238,411
贝因美,1.1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,238,407
惠氏,0.4,爱尔兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,238,400
圣元,0.5,法国,国产,0.5-1岁,袋装,常规配方奶粉,牛奶粉,2段,238,398
雀巢,0.8,德国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,243,390
美素,0.9,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,241,390
御宝,1,其它　,国产,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,246,389
圣元,0.5,法国,国产,0-0.5岁,袋装,常规配方奶粉,牛奶粉,1段,247,388
完达山,1.12,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,247.5,385
雅培,0.9,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,247.5,385
诺优能,1.6,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,247.5,385
尤爱倍特,1,荷兰,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,247.5,383
英氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,247.5,382
三元,0.4,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,248,380
贝因美,1.1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,248,379
素加奶粉,1.18,法国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,3段,248,379
雅培,0.82,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,248,375
澳优,0.8,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,249,371
伊利,0.9,其它　,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,249,371
贝拉米,1.106,澳洲/新西兰,进口,0.5-1岁,桶装,有机奶粉,牛奶粉,2段,249,369
伊利,1.1,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,249,366
惠氏,0.52,爱尔兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,249,362
雀巢,0.8,德国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,249,361
伊利,1.1,澳洲/新西兰,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,3段,250,353
康维多,1,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,249,353
美可高特,0.77,中国大陆,国产,3-6岁,桶装,常规配方奶粉,羊奶粉,4段,250,347
雅培,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,250,339
雀巢,0.4,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,250,338
美赞臣,1.6,荷兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,251,335
贝因美,0.908,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,3段,250.2,335
雅培,0.9,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,252,332
惠氏,0.9,其它　,进口,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,252,332
完达山,1.12,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,256,329
美赞臣,1,荷兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,256,329
西谱,1.1,其它　,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,258,319
蒙牛,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,259,316
迈高,0.8,澳洲/新西兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,259,312
咔哇熊,1.15,澳洲/新西兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,259,310
羊羊,1.04,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,259,309
雅士利,1.5,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,260,308
合生元,2,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,259,308
爱婴宝秀,1,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,260,307
多美滋,0.9,其它　,国产,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,260,306
惠氏,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,261,305
诺优能,0.9,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,261,304
澳优,0.8,荷兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,268,299
伊利,1.2,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,262,299
完达山,1,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,268,296
合生元,0.9,法国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,268,293
雀巢,0.4,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,2段,268,293
明一,1.12,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,268,292
太子乐,0.9,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,268,292
咔哇熊,1.09,澳洲/新西兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,268,292
伊利,1.2,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,268,291
惠氏,0.9,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,268,291
贝因美,0.9,其它　,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,268,291
合生元,1.5,法国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,268.5,290
惠氏,0.7,爱尔兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,268,290
惠氏,0.35,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,268.5,288
金典,0.9,德国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,4段,269,286
羊羊,0.8,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,270,281
伊利,1,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,272,279
伴宝乐,0.9,法国,进口,0.5-1岁,桶装,有机奶粉,牛奶粉,2段,270,279
德国多比,1,德国,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,270,279
朵茵倍可,1.1,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,276,278
多美滋,1.29,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,276,278
多美滋,1.29,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,272,278
雀巢,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,276,277
美赞臣,1,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,278,276
飞鹤,0.4,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,277.2,276
多美滋,0.46,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,278,275
伊利,0.5,其它　,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,278,274
关山,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,278,273
英氏,2,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,279,271
伊利,0.98,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,279,270
君乐宝,0.8,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,279,270
澳仕卡牛,1,澳洲/新西兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,279,270
伊利,0.98,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,280,269
雅培,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,284,265
完达山,0.4,其它　,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,283.5,265
雅士利,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,280,265
雅士利,1.2,其它　,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,286,264
惠氏,0.5,爱尔兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,286,261
多美滋,1.6,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,287,259
多美滋,1.2,中国大陆,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,288,258
惠氏,1,爱尔兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,287,258
贝因美,1,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,288,252
澳优,0.9,荷兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,288,252
多美滋,0.8,其它　,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,288,252
雀巢,1.37,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,288,252
羊羊,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,290,250
御宝,0.8,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,羊奶粉,1段,290,249
明一,1.45,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,292,248
惠氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,292,246
完达山,1,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,292,246
雅培,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,295,245
飞鹤,1,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,294,245
合生元,1.2,法国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,293,245
完达山,1,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,295,243
雀巢,0.9,德国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,295,239
完达山,0.4,其它　,国产,3-6岁,袋装,常规配方奶粉,牛奶粉,4段,295,238
伊利,0.4,澳洲/新西兰,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,295,236
惠氏,0.9,爱尔兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,295,235
美赞臣,1.2,荷兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,295,227
雀巢,0.4,荷兰,进口,0-0.5岁,桶装,特殊配方奶粉,牛奶粉,1段,295.2,222
多美滋,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,296,220
乐天大贵族,5,其它　,进口,1-3岁,箱装,常规配方奶粉,牛奶粉,3段,296,220
雅培,0.45,其它　,进口,1-3岁,盒装,特殊配方奶粉,牛奶粉,3段,296,216
贝因美,0.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,296,212
明一,1.68,澳洲/新西兰,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,298,210
合生元,1.2,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,298,210
飞鹤,0.5,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,296,210
贝因美,1,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,298,209
完达山,0.4,其它　,国产,1-3岁,袋装,常规配方奶粉,牛奶粉,3段,298,208
美素,1.8,荷兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,298,208
惠氏,1,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,298,208
御宝,1.8,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,298,207
美康喜,0.9,美国,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,298,207
Humana,0.6,德国,进口,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,298,206
惠氏,0.9,其它　,进口,3-6岁,桶装,常规配方奶粉,牛奶粉,4段,298,204
惠氏,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,298,203
美素,0.95,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,298,203
三元,0.4,中国大陆,国产,1-3岁,箱装,常规配方奶粉,牛奶粉,3段,298,202
雅培,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,298,200
西谱,1.1,其它　,进口,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,298,199
惠氏,1.1,爱尔兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,298,199
迈高,1.5,澳洲/新西兰,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,299,198
贝因美,1.2,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,301,197
雅培,1.25,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,300,197
美赞臣,1.2,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,304,196
雅士利,1.5,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,303,196
完达山,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,301,196
美赞臣,1.1,荷兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,305,193
美素,1.6,荷兰,进口,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,308,192
美赞臣,2.2,荷兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,308,191
惠氏,3.5,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,308,190
飞鹤,0.9,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,308,190
惠氏,0.8,爱尔兰,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,308,190
贝因美,0.5,其它　,国产,0-0.5岁,盒装,常规配方奶粉,牛奶粉,1段,308,190
明一,6.72,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,309,189
卡洛塔妮 ,1,澳洲/新西兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,308,189
魔妈,5.8,其它　,国产,1-3岁,箱装,常规配方奶粉,羊奶粉,3段,308,189
雅培,1.2,其它　,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,308,189
