商品名称,商品毛重.kg.,奶源产地,国产或进口,适用年龄.岁.,包装单位,配方,分类,段位,团购价.元.,评价量
惠氏,0.515,爱尔兰,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,85,31860
雅培,1.09,其它　,进口,0.5-1岁,桶装,有机奶粉,牛奶粉,2段,85,31809
伊利,0.45,澳洲/新西兰,国产,0.5-1岁,盒装,常规配方奶粉,牛奶粉,2段,85,31421
合生元,1.18,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,86,31009
特福芬,0.6,德国,进口,0.5-1岁,盒装,有机奶粉,牛奶粉,2段,87,28626
圣元,1.2,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,86,28626
合生元,1.18,法国,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,88,25922
雅士利,1.12,澳洲/新西兰,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,88,25895
伊利,1.25,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,88,25243
惠氏,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,89,24546
完达山,1.14,中国大陆,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,90,24275
伊利,0.47,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,92,23204
佳贝艾特,0.8,荷兰,进口,0.5-1岁,桶装,常规配方奶粉,羊奶粉,2段,92,23203
合生元,0.9,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,93,21769
飞鹤,1.5,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,93,21768
君乐宝,1.18,中国大陆,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,93,21601
君乐宝,0.22,中国大陆,国产,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,95,18622
贝因美,1.1,其它　,国产,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,95,18622
雅培,0.5,其它　,进口,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,97,18127
羊羊,0.8,中国大陆,国产,1-3岁,桶装,常规配方奶粉,羊奶粉,3段,96,18127
圣元,0.45,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,95,18127
特福芬,1.8,德国,进口,1-3岁,盒装,有机奶粉,牛奶粉,3段,98,17020
箱装奶粉,6.82,荷兰,国产,1-3岁,箱装,常规配方奶粉,牛奶粉,3段,97.2,17020
完达山,0.41,中国大陆,国产,3-6岁,袋装,常规配方奶粉,牛奶粉,4段,97,17020
雀巢,1.07,其它　,进口,0-0.5岁,桶装,常规配方奶粉,牛奶粉,1段,99,16995
多美滋,1.29,其它　,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,99,16995
君乐宝,0.47,中国大陆,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,99,16995
惠氏,0.9,其它　,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,99,15881
雅培,1.2,其它　,国产,3-6岁,盒装,常规配方奶粉,牛奶粉,4段,99,15452
惠氏,1,其它　,进口,0.5-1岁,桶装,常规配方奶粉,牛奶粉,2段,99,13556
伊利,1.2,澳洲/新西兰,国产,1-3岁,盒装,常规配方奶粉,牛奶粉,3段,100,13141
伊利,0.8,澳洲/新西兰,国产,1-3岁,桶装,常规配方奶粉,牛奶粉,3段,100,12693
