时间,上证指数
11/24/2016,3241.7359
11/25/2016,3261.9378
11/28/2016,3276.9996
11/29/2016,3282.9238
11/30/2016,3250.0344
12/1/2016,3273.3093
12/2/2016,3243.8432
12/5/2016,3204.7092
12/6/2016,3199.6473
12/7/2016,3222.2415
12/8/2016,3215.3658
12/9/2016,3232.8834
12/12/2016,3152.9704
12/13/2016,3155.0374
12/14/2016,3140.5308
12/15/2016,3117.677
12/16/2016,3122.9815
12/19/2016,3118.0846
12/20/2016,3102.8759
12/21/2016,3137.4297
12/22/2016,3139.558
12/23/2016,3110.1544
12/26/2016,3122.569
12/27/2016,3114.664
12/28/2016,3102.2357
12/29/2016,3096.0968
12/30/2016,3103.6373
1/3/2017,3135.9208
1/4/2017,3158.794
1/5/2017,3165.4109
1/6/2017,3154.321
1/9/2017,3171.2362
1/10/2017,3161.6713
1/11/2017,3136.7535
1/12/2017,3119.2886
1/13/2017,3112.7644
1/16/2017,3103.428
1/17/2017,3108.7746
1/18/2017,3113.0123
1/19/2017,3101.2992
1/20/2017,3123.1389
1/23/2017,3136.7748
1/24/2017,3142.5533
1/25/2017,3149.5547
1/26/2017,3159.166
2/3/2017,3140.17
2/6/2017,3156.9838
2/7/2017,3153.0878
2/8/2017,3166.9818
2/9/2017,3183.1794
2/10/2017,3196.699
2/13/2017,3216.8394
2/14/2017,3217.928
2/15/2017,3212.9857
2/16/2017,3229.6184
2/17/2017,3202.0756
2/20/2017,3239.9613
2/21/2017,3253.3257
2/22/2017,3261.2184
2/23/2017,3251.375
2/24/2017,3253.4327
2/27/2017,3228.6602
2/28/2017,3241.7331
3/1/2017,3246.9335
3/2/2017,3230.0281
3/3/2017,3218.3118
3/6/2017,3233.8657
3/7/2017,3242.4063
3/8/2017,3240.6646
3/9/2017,3216.7457
3/10/2017,3212.7601
3/13/2017,3237.0244
3/14/2017,3239.3278
3/15/2017,3241.7597
3/16/2017,3268.9354
3/17/2017,3237.4471
3/20/2017,3250.8082
3/21/2017,3261.6108
3/22/2017,3245.2198
3/23/2017,3248.5495
3/24/2017,3269.4451
3/27/2017,3266.9552
3/28/2017,3252.9479
3/29/2017,3241.3144
3/30/2017,3210.2369
3/31/2017,3222.5142
4/5/2017,3270.3054
4/6/2017,3281.0047
4/7/2017,3286.616
4/10/2017,3269.3926
4/11/2017,3288.9657
4/12/2017,3273.8301
4/13/2017,3275.9603
4/14/2017,3246.0668
4/17/2017,3222.1673
4/18/2017,3196.7133
4/19/2017,3170.6867
4/20/2017,3172.1003
4/21/2017,3173.1512
4/24/2017,3129.5312
4/25/2017,3134.5674
4/26/2017,3140.8471
4/27/2017,3152.1869
4/28/2017,3154.6584
5/2/2017,3143.7121
5/3/2017,3135.346
5/4/2017,3127.3687
5/5/2017,3103.0378
5/8/2017,3078.6129
5/9/2017,3080.5269
5/10/2017,3052.785
5/11/2017,3061.5003
5/12/2017,3083.5132
5/15/2017,3090.2289
5/16/2017,3112.9642
5/17/2017,3104.4415
5/18/2017,3090.139
5/19/2017,3090.6309
5/22/2017,3075.6756
5/23/2017,3061.947
5/24/2017,3064.0759
5/25/2017,3107.8311
5/26/2017,3110.0587
5/31/2017,3117.1778
6/1/2017,3102.6232
6/2/2017,3105.54
6/5/2017,3091.6561
6/6/2017,3102.126
6/7/2017,3140.3249
6/8/2017,3150.3336
6/9/2017,3158.4004
6/12/2017,3139.8766
6/13/2017,3153.7429
6/14/2017,3130.674
6/15/2017,3132.4863
6/16/2017,3123.1662
6/19/2017,3144.3739
6/20/2017,3140.0136
6/21/2017,3156.2118
6/22/2017,3147.4532
6/23/2017,3157.873
6/26/2017,3185.4439
6/27/2017,3191.1969
6/28/2017,3173.2014
6/29/2017,3188.0625
6/30/2017,3192.4269
7/3/2017,3195.9116
7/4/2017,3182.8039
7/5/2017,3207.1342
7/6/2017,3212.444
7/7/2017,3217.9567
7/10/2017,3212.6319
7/11/2017,3203.0375
7/12/2017,3197.5439
7/13/2017,3218.1632
7/14/2017,3222.4168
7/17/2017,3176.4648
7/18/2017,3187.5672
7/19/2017,3230.9762
7/20/2017,3244.8647
7/21/2017,3237.9817
7/24/2017,3250.5989
7/25/2017,3243.6894
7/26/2017,3247.6748
7/27/2017,3249.7814
7/28/2017,3253.2404
7/31/2017,3273.0283
8/1/2017,3292.6383
8/2/2017,3285.0568
8/3/2017,3272.9286
8/4/2017,3262.0809
8/7/2017,3279.4566
8/8/2017,3281.8728
8/9/2017,3275.573
8/10/2017,3261.7494
8/11/2017,3208.5413
